question,candidates,llm_final_match
Percentage of total permanent workers covered by health insurance,"['Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Workers Member', 'Remarks For Assurance Of Whether Your Entitys Policy Or Policies Cover Each Principle And Its Core Elements Of The NGRBCs', 'Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member', 'Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Permanent Workers Member', 'Percentage Of Total Shares Held', 'Percentage Of Shares Held By Insurance Companies']",
Percentage of workers or employees in association(s) or unions recognised by the listed entity,"['Number Of Employees In The Company At The End Of The Financial Year', 'Whether Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity Is Assured By Assurer', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Assurance Sub Type For Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity', 'Remarks For Assurance Of Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity']",
Presence of ISO 14001:2015 certifications,"['Remarks For Assurance Of Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle', 'ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data', 'Address Of Registered Office Of Company', 'Assurance Sub Type For Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle']",
Presence of policy on appointment and reappointment of board of directors,"['Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block', 'Reappointment Of Independent Directors As Per Section 14910 Explanatory', 'Directors Signing Board Report Domain', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Total Number Of Board Of Directors']",
Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments,"['Details On Policy Development And Implementation By Company On Corporate Social Responsibility Initiatives Taken During Year Explanatory', 'Assurance Sub Type For Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments', 'Details On Policy Development And Implementation By Company On Corporate Social Responsibility Initiatives Taken During Year Text Block', 'Remarks For Assurance Of Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments']",
Provide details of any corrective actions taken or underway to adderss significant risks/concerns arising from asessment of health and safety practices practices and working conditions of value chain partners,"['Remarks For Assurance Of Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Value Chain Partner', 'Disclosure Of Nature And Extent Of Risks Arising From Insurance Contracts Explanatory', 'Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Value Chain Partner Explanatory Text Block', 'Disclosure Of Nature And Extent Of Risks Arising From Financial Instruments Explanatory']",
Provide details of significant direct and indirect impact of the entity on biodiversity in ecological sensitive areas along with prevention and remediation activities,"['Remarks For Assurance Of Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities', 'Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block', 'Indication Of Other Forms Of Government Assistance With Direct Benefits For Entity', 'Impact Of Change In Classification Of Significant Foreign Operation On Shareholders Fund']",
"Provide details on development of clinical technology, clinical capabilites and programmes","['Remarks For Assurance Of Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities', 'Does The Entity Provide Transition Assistance Programs To Facilitate Continued Employability And The Management Of Career Endings Resulting From Retirement Or Termination Of Employment', 'Expenditure Incurred On Research And Development', 'Details Regarding Technology Absorption']",
Provide information on project(s) for which ongoing Rehabilitation and Resettlements is being undertaken by the company,"['Assurance Sub Type For Details Of Projects For Which Ongoing Rehabilitation And Resettlement Is Being Undertaken By Entity', 'Sector In Which Project Is Covered', 'Whether Details Of Projects For Which Ongoing Rehabilitation And Resettlement Is Being Undertaken By Entity Is Assured By Assurer', 'Other Money For Which Company Is Contingently Liable', 'Remarks For Assurance Of Details Of Projects For Which Ongoing Rehabilitation And Resettlement Is Being Undertaken By Entity']",
Provide number of instances of data breaches along with their impact on the company,"['Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Number Of Instances Of Data Breaches Along With Impact', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Number Of Employees In The Company At The End Of The Financial Year']",
Provide percentage of total employees covered under health and safety measures training,"['Percentage Of Trained Employees Or Workers - Gender Member - On Health And Safety Measures Member - Employees Member', 'Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member', 'Safety Security Expenses', 'Percentage Of Trained Employees Or Workers - Female Member - On Health And Safety Measures Member - Employees Member', 'Training Recruitment Expenses']",
Ratio of remuneration of MD/CEO to median remuneration of employees,"['Ratio Of Remuneration Of Director Or Managerial Personnel To Median Of Remuneration Of Employees For Financial Year', 'Remarks For Assurance Of Details Of Median Of Remuneration Or Salary Or Wages And Wages Paid To Female', 'Percentage Increase In Median Remuneration Of Employees In Financial Year', 'Assurance Sub Type For Details Of Median Of Remuneration Or Salary Or Wages And Wages Paid To Female']",
Share of buildings that are certified according to international building standards/GRESB/IGBC,"['Remarks For Assurance Of Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle', 'Repairs To Building', 'Number Of Certified Emission Rights Under Certification', 'Construction And Demolition Waste']",
Steps taken to inform and educate consumers about safe and responsible usage of products and/or service,"['Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services', 'Products And Services Domain', 'Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services Explanatory Text Block', 'Steps Taken Or Impact On Conservation Of Energy Explanatory']",
Third party verification of waste data,"['Water Withdrawal By Third Party Water', 'Compensation From Third Parties For Items Of Property Plant And Equipment', 'Waste Recovered Through Recycled - Previous Year', 'Water Withdrawal By Third Party Water - Previous Year', 'Disclosure Relating To Physical Verification And Material Discrepancies Of Fixed Assets', 'Amount Of Recycled - Hazardous Waste Member', 'Waste Recovered Through Recycled']",
Third party verification of water data,"['Water Withdrawal By Third Party Water - Previous Year', 'Cost Water Charges', 'Disclosure Relating To Physical Verification And Material Discrepancies Of Fixed Assets', 'Water Withdrawal By Third Party Water']",
Total Lost time incident rate (LTIR)_Employees?,"['Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member - Previous Year', 'Discount Rate Used To Reflect Time Value Of Money Regulatory Deferral Account Balances', 'Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member', 'Commission Employees']",
Total Lost time incident rate (LTIR)_Workers?,"['Rate Of Return Used To Reflect Time Value Of Money Regulatory Deferral Account Balances', 'Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member', 'Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member - Previous Year', 'Discount Rate Used To Reflect Time Value Of Money Regulatory Deferral Account Balances']",
Total instances of product recalls,"['Remarks For Assurance Of Details Of Instances Of Product Recalls On Account Of Safety Issues', 'Total Liabilities Of Subsidiary', 'Total Number Of Product Or Service Category', 'Assurance Sub Type For Details Of Instances Of Product Recalls On Account Of Safety Issues']",
Total recordable work related injuries for employees as a % of the total employees in the company,"['Total Recordable Work Related Injuries - Employees Member', 'Total Recordable Work Related Injuries - Employees Member - Previous Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Commission Employees']",
Total recordable work related injuries for workers as a % of the total workers in the company,"['Total Recordable Work Related Injuries - Workers Member', 'Percentage To Total Turnover Of Company', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Recordable Work Related Injuries - Workers Member - Previous Year']",
Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,"['Turnover Of Product Or Service Category', 'Products And Services Domain', 'Assurance Sub Type For Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover', 'Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover']",
Turnover of products and/or services as a percentage of turover from all products/service that carry information about the recycling and/or safe disposal,"['Disclosure Of Products And Services Explanatory', 'Products And Services Domain', 'Assurance Sub Type For Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover', 'Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover']",
Was there training given to workers on health and sagety measures in Current Year,"['Advances Given During Year Related Party Transactions', 'Assurance Sub Type For Details Of Training Given To Employees And Workers', 'Number Of Complaints Pending Resolution At The End Of Year - Discrimination At Work Place Member', 'Training Recruitment Expenses', 'Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5', 'Remarks For Assurance Of Details Of Training Given To Employees And Workers']",
Waste management practices and strategies to reduce usage of hazardous and toxic chemicals from the products and processes,"['Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals', 'Products And Services Domain', 'Disclosure Of Products And Services Explanatory', 'Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block']",
Were there any promotor sponsored resolutoins that were defeated during the current FY,"['Date Of Board Meeting When Final Accounts Were Approved', 'Number Of Complaints Filed During The Year - Discrimination At Work Place Member', 'Percentage Of Wages Of Your Plants And Offices That Were Assessed P5', 'Whether There Is Any Change In Functional Currency During The Year', 'Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5']",
What are the VOC/POP/HAP emissions for the current year (Unit: Metric Tonne),"['Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity', 'Whether There Are Changes In Acounting Estimates During The Year', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year', 'Water Intensity The Relevant Metric May Be Selected By The Entity']",
What are the goals/targets/commitments towards Energy consumption,"['Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines', 'Assurance Sub Type For Specific Commitments Goals And Targets Set By The Entity With Defined Timelines', 'Appropriation Towards Bonus Shares', 'Total Fuel Consumption From Renewable Sources', 'Total Electricity Consumption From Renewable Sources', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
"What are the initiatives taken to reduce the NOx, SOx, PM, VOC, HAP and POP air emissions","['SOx', 'NOx', 'Whether Details Of Air Emissions Other Than Ghg Emissions By The Entity Is Applicable To The Company', 'Other Emissions - Other Air Emissions Domain9', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory', 'NOx - Previous Year']",
What are the initiatives taken with respect to Chemical Sagety management,"['Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Explanatory Text Block', 'Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company', 'Assurance Sub Type For Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard', 'Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company - Previous Year', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
What are the intiatives taken to reduce plastic packaging,"['Amount Of Safely Disposed - Plastics Including Packaging Member', 'Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are', 'Plastic Waste - Previous Year', 'Plastic Waste', 'Amount Of Recycled - Plastics Including Packaging Member', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
What are the number of days of account payable?,"['Number Of Days Of Accounts Payable - Previous Year', 'Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are', 'Number Of Days Of Accounts Payable', 'Number Of Employees In The Company At The End Of The Financial Year']",
"What are the processes to safely reclaim the products for reusing, recycling and disposing at the end of life for, (a) Plastics (including packaging) (b)e-waste (c) hazardous waste and (d) other waste?","['Assurance Sub Type For Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste', 'Remarks For Assurance Of Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Number Of Employees In The Company At The End Of The Financial Year']",
What are the processes used to identify work-related hazards and assess risks on a routine and non routine bassi by the entity,"['Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks', 'Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are', 'Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks Is Not Applicable Explanatory Text Block', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Desclosure Of The Processes Used To Identify Work Related Hazards And Assess Risks On ARoutine And Non Routine Basis By The Entity Explanatory Text Block']",
What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,"['Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity', 'Whether There Are Changes In Acounting Estimates During The Year', 'NOx', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year']",
What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,"['Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity', 'Whether There Are Changes In Acounting Estimates During The Year', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year']",
What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,"['SOx', 'Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity', 'Whether There Are Changes In Acounting Estimates During The Year', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year']",
What initiatives are undertaken to mitigate the health risks of smoking and tobacco use,"['Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services', 'Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are', 'Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services Explanatory Text Block', 'Description Of Fact That Highest And Best Use Of Nonfinancial Assets Differs From Current Use', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
What is fly ash % utilisation in current year?,"['Other Utilisation Of Securities Premium If Permitted', 'It Is Planned To Be Done In The Next Financial Year - Principle2 Member', 'Current Tax Pertaining To Current Year', 'It Is Planned To Be Done In The Next Financial Year - Principle9 Member', 'Amount Provided In Current Year']",
What is purchases from top 10 trading houses as % of total purchases from trading houses,"['Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses - Previous Year', 'Purchases Of Goods Related Party Transactions', 'Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses', 'Purchases Of Stock In Trade']",
What is the % of job creation in smaller towns - wages paid to persons employed in smaller towns (permanent or non-permanent / on contract) as % of total wage cost,"['Material Cost Contract', 'Remarks For Assurance Of Job Creation In Smaller Towns Disclose Wages Paid To Persons Employed Including Employees Or Workers Employed On APermanent Or Non Permanent Or On Contract Basis', 'Contract Cost', 'Whether Job Creation In Smaller Towns Disclose Wages Paid To Persons Employed Including Employees Or Workers Employed On APermanent Or Non Permanent Or On Contract Basis Is Assured By Assurer']",
What is the % of untreated water discharge?,"['Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer', 'Name Of Stock Exchange Where The Company Is Listed', 'Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Cost Water Charges', 'Water Discharge To Surface Water', 'Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres']",
What is the clinker factor ratio?,"['Name Of Stock Exchange Where The Company Is Listed', 'Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'It Is Planned To Be Done In The Next Financial Year - Principle5 Member', 'Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are', 'It Is Planned To Be Done In The Next Financial Year - Principle4 Member']",
What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year', 'Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity', 'Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
What is the energy intensity in terms of physical output?,"['Energy Intensity In Term Of Physical Output - Previous Year', 'Energy Intensity In Term Of Physical Output', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory', 'Details Regarding Energy Conservation']",
What is the energy intensity turnover for the current year?,"['Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity', 'Number Of Employees In The Company At The End Of The Financial Year', 'Energy Intensity Per Rupee Of Turnover - Previous Year', 'Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity', 'Energy Intensity Per Rupee Of Turnover', 'Energy Intensity The Relevant Metric May Be Selected By The Entity', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
What is the gross wages paid to females as percentage of wages paid,"['Percentage Of Gross Wages Paid To Female To Total Wages Paid', 'Salaries And Wages', 'Dividends Paid To Noncontrolling Interests', 'Percentage Of Gross Wages Paid To Female To Total Wages Paid - Previous Year', 'Gross Wages Paid To Female']",
What is the input material directly sourced from MSMEs/small producers (in % terms - As % of total purchases by value),"['Percentage Of Directly Sourced From MSMEs Or Small Producers', 'Summary Of Quantitative Data About What Entity Manages As Capital', 'Micro Small Medium Enterprises Domain', 'Percentage Of Directly Sourced From MSMEs Or Small Producers - Previous Year']",
What is the input material sourced directly from within India as % of total purchases,"['Whether There Is Any Departure From Ind AS', 'Percentage Of Sourced Directly From Within The District And Neighbouring Districts - Previous Year', 'Percentage Of Sourced Directly From Within The District And Neighbouring Districts', 'Summary Of Quantitative Data About What Entity Manages As Capital']",
What is the number of complaints filed by the customers as a % of revenue in Current Year?,"['Number Of Employees In The Company At The End Of The Financial Year', 'Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Customers Member', 'Number Of Complaints Filed During The Year - Health Safety Complaints Member', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Number Of Complaints Filed During The Year - Working Conditions Complaints Member']",
What is the number of pending/unresolved employees and workers grievances as % of total complaints filed in the current year,"['Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member', 'Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Employees And Workers Member', 'Number Of Employees In The Company At The End Of The Financial Year', 'Number Of Complaints Filed During The Year - Health Safety Complaints Member', 'Whether There Is Any Change In Functional Currency During The Year', 'Number Of Complaints Filed During The Year - Working Conditions Complaints Member']",
What is the percentage of cost incurred as a % of total revenue of the company with regards to spending on measures towards wellbeing of employees and workers?,"['Percentage To Total Turnover Of Company', 'Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company', 'Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company - Previous Year', 'Number Of Employees In The Company At The End Of The Financial Year']",
What is the percentage of female employees in the workforce,"['Name Of Stock Exchange Where The Company Is Listed', 'Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Number Of Employees In The Company At The End Of The Financial Year', 'Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block', 'Percentage Of Differently Abled Employees Or Workers - Female Member - Employees Member', 'Return To Work Rate Permanent Employees That Took Parental Leave - Female Member']",
What is the purchases from trading houses % of total purchases,"['Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses - Previous Year', 'Purchases Of Goods Related Party Transactions', 'Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses', 'Purchases Of Stock In Trade']",
What is the sales to dealers/distributors as % of total sales,"['Taxes Payable Sales Tax', 'After Sales Service Expenses', 'Percentage Of Sales To Dealers Or Distributors In Total Sales', 'Percentage Of Sales To Top Ten Dealers Or Distributors In Total Sales To Dealers Or Distributors']",
What is the sales to top 10 dealers/distributors as % of total sales to dealers/distributors,"['Percentage Of Sales To Top Ten Dealers Or Distributors In Total Sales To Dealers Or Distributors - Previous Year', 'Sales Tax Pertaining To Exploration And Production Activities', 'After Sales Service Expenses', 'Percentage Of Sales To Top Ten Dealers Or Distributors In Total Sales To Dealers Or Distributors']",
What is the scope 1 and scope 2 emissions intensity for the current year?,"['Number Of Employees In The Company At The End Of The Financial Year', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity', 'Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover', 'Whether Details Of Green House Gas Emissions And Its Intensity Is Applicable To The Company', 'Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company', 'Whether There Is Any Change In Functional Currency During The Year']",
What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,"['Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity - Previous Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity', 'Whether There Is Any Change In Functional Currency During The Year', 'Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output']",
What is the scope 3 emissions intensity for the current year?,"['Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity', 'Number Of Employees In The Company At The End Of The Financial Year', 'Whether Details Of Green House Gas Emissions And Its Intensity Is Applicable To The Company', 'Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company', 'Whether There Is Any Change In Functional Currency During The Year']",
What is the share of RPTs (as respective %age) in investments,"['Name Of Stock Exchange Where The Company Is Listed', 'Percentage Of Investments In Related Parties In Total Investments', 'Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Percentage Of Investments In Related Parties In Total Investments - Previous Year', 'Number Of Employees Covered As Percentage Of Total Employees - Provident Fund Member', 'Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block', 'Summary Of Quantitative Data About What Entity Manages As Capital']",
What is the share of RPTs (as respective %age) in loans and advances,"['Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances', 'Short Term Loans And Advances', 'Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances - Previous Year', 'Loans And Advances']",
What is the share of RPTs (as respective %age) in purchases,"['Purchases Of Stock In Trade', 'Summary Of Quantitative Data About What Entity Manages As Capital', 'Percentage Of Purchases From Related Parties In Total Purchases For Share Of Related Party Transactions - Previous Year', 'Percentage Of Purchases From Related Parties In Total Purchases For Share Of Related Party Transactions']",
What is the share of RPTs (as respective %age) in sales,"['Percentage Of Sales To Related Parties In Total Sales For Share Of Related Party Transactions', 'Percentage Of Sales To Related Parties In Total Sales For Share Of Related Party Transactions - Previous Year', 'Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Name Of Stock Exchange Where The Company Is Listed', 'Summary Of Quantitative Data About What Entity Manages As Capital']",
What is the total effluent discharge in the Current Year?,"['Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity', 'Cost Effluent Disposal', 'Number Of Employees In The Company At The End Of The Financial Year', 'It Is Planned To Be Done In The Next Financial Year - Principle7 Member', 'It Is Planned To Be Done In The Next Financial Year - Principle3 Member', 'Whether There Is Any Change In Functional Currency During The Year', 'Amount Provided In Current Year']",
What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,"['Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer', 'Total Volume Of Water Consumption', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Water Discharged In Kilolitres - Previous Year', 'Total Water Discharged In Kilolitres', 'Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres', 'Whether There Is Any Change In Functional Currency During The Year']",
What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,"['Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Volume Of Water Withdrawal', 'Total Volume Of Water Withdrawal - Previous Year', 'Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres', 'Whether There Is Any Change In Functional Currency During The Year']",
What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,"['Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Water Discharged In Kilolitres - Previous Year', 'Cost Water Charges', 'Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres', 'Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres', 'Total Water Discharged In Kilolitres Per Area - Facility Or Plant Located In Areas Of Water Stress Domain4 - Previous Year']",
What is the turnover rate for permanent employees for the Current Year,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Turnover Rate - Female Member - Permanent Employees Member - Previous Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Retention Rates Permanent Employees That Took Parental Leave - Male Member', 'Turnover Rate - Male Member - Permanent Employees Member - Previous Year', 'Retention Rates Permanent Employees That Took Parental Leave - Female Member']",
What is the turnover rate for permanent female employees in the Current Year,"['Turnover Rate - Female Member - Permanent Employees Member - Previous Year', 'Turnover Rate - Female Member - Permanent Employees Member', 'Number Of Employees In The Company At The End Of The Financial Year', 'Whether There Is Any Change In Functional Currency During The Year', 'Retention Rates Permanent Employees That Took Parental Leave - Female Member']",
What is the turnover rate for permanent female worker in the Current Year,"['Retention Rates Permanent Workers That Took Parental Leave - Female Member', 'Turnover Rate - Female Member - Permanent Employees Member - Previous Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Turnover Rate - Female Member - Permanent Workers Member - Previous Year', 'Turnover Rate - Female Member - Permanent Workers Member', 'Whether There Is Any Change In Functional Currency During The Year']",
