question,kalman_fused_match,fused_score,mha_score_raw,bm25_score_norm,kalman_gain,p_value,verification_status,alt_match_1,alt_fused_score_1
Does the company have a specified committee of the board/director responsible for decision making on sustainability related issues (Y/N),Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,1.0,0.8944,1.0,0.0,0.0,Kalman Verified (High),Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block,0.9285
Were there any promotor sponsored resolutoins that were defeated during the current FY,Percentage Of Wages Of Your Plants And Offices That Were Assessed P5,1.0,0.0387,1.0,0.0,0.0,Kalman Verified (High),Whether There Is Any Change In Functional Currency During The Year,0.9768
Does the company follow GRI standards,Description Of Initial Application Of Standards Or Interpretations Explanatory,1.0,0.2505,1.0,0.0,0.0,Kalman Verified (High),Financial Effect Of Deviation From Accounting Standards Balance Sheet,1.0
Is the company aligned with SDGs? Does the company set targets according  to SDGs,Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer,1.0,0.3505,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines,0.8775
Is your company a signatory/participant of the United Nations Global Compact,Initially Applied Ind A Ss Domain,0.9909,0.095,1.0,0.01,0.01,Kalman Verified (High),Whether Details Of The Stock Exchange Where The Company Is Listed Is Assured By Assurer,0.9179
Does the company have affiliatoins with trade and indsutry chambers/associations,Number Of Affiliations With Trade And Industry Chambers Or Associations,1.0,0.577,1.0,0.0,0.0,Kalman Verified (High),Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations7 Member,0.9102
"Has the company advocated any public policy positions? If yes, provide details",Remarks For Assurance Of Details Of Public Policy Positions Advocated By The Entity,1.0,0.7303,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Details Of Public Policy Positions Advocated By The Entity,1.0
Does the company disclose ESG engagement with investee company,EMail Of The Company,1.0,0.3957,1.0,0.0,0.0,Kalman Verified (High),Name Of The Company,1.0
Does the entity have stewardship code,Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0,0.4704,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0
Is there a policy on related party transactions,Whether There Are Any Related Party Transactions During Year,1.0,0.6998,1.0,0.0,0.0,Kalman Verified (High),Settlement Of Liabilities On Behalf Of Entity By Related Party Related Party Transactions,0.9001
Disclosure of transactions with related parties during the year which are more than 10% of the revenue,Disclosure In Auditors Report Relating To Transactions With Related Parties,1.0,0.7462,1.0,0.0,0.0,Kalman Verified (High),Disclosure Of Transactions Between Related Parties Explanatory,0.9996
