question_text,best_match,mha_similarity_score,verification_status,alt_match_1,alt_score_1,alt_match_2,alt_score_2
Does the entity display relevant information on the product labels as per the requirements of national and international drug regulatory bodies,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.6381,Medium Confidence (MHA),Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.6091,Whether Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Is Assured By Assurer,0.5815
How many labs are NABL accredited,Number Of Certified Emission Rights Under Certification,0.2748,Low Confidence (MHA),Name Of The Assessor Or Assurer - Assessment Or Assurance Provider Domain3,0.2628,Name Of The Assessor Or Assurer - Assessment Or Assurance Provider Domain4,0.262
How did the entity handle aliquots and provide details on reducing aliquots,Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Explanatory Text Block,0.4211,Low Confidence (MHA),Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,0.4011,Disclosure Of Other Provisions Explanatory,0.3825
Does the company have a dedicated ethics committee to oversee all the clinical trials,Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.4316,Low Confidence (MHA),Disclosures In Directors Responsibility Statement,0.3906,Remarks For Assurance Of Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.3781
Does the company have a public policy committing it and/or its suppliers to animal welfare principles,Disclosure Of Biological Assets And Government Grants For Agricultural Activity Explanatory,0.5074,Medium Confidence (MHA),Method Resorted For Such Advocacy - Public Policy9,0.493,Method Resorted For Such Advocacy - Public Policy22,0.4925
Does the company meet priority sector lending requirements as per RBI,Loans And Advances Due By Private Companies In Which Any Director Is Member,0.4432,Low Confidence (MHA),Interest Paid Classified As Financing Activities,0.4381,Nature Of Other Loans,0.4334
"Does the entity have a plan to lend to MSME? If yes, provide details",Does The Entity Have ABusiness Continuity And Disaster Management Plan,0.5338,Medium Confidence (MHA),It Is Planned To Be Done In The Next Financial Year - Principle9 Member,0.5051,It Is Planned To Be Done In The Next Financial Year - Principle5 Member,0.4966
Does the company have a policy or commitment on financial inclusion,Details Of Material Changes And Commitment Occurred During Period Affecting Financial Position Of Company,0.5315,Medium Confidence (MHA),It Is Planned To Be Done In The Next Financial Year - Principle6 Member,0.5187,Description Of Accounting Policy For Financial Guarantees Explanatory,0.5177
Does the company have programmes for listing designed to promote small businesses (MSME) and community development,Micro Small Medium Enterprises Domain,0.4717,Low Confidence (MHA),Whether Company Is Listed Company,0.4706,Name Supplier Being Micro Small Medium Enterprises,0.4561
Does the company index for social enterprises that target underserved or less privileged population segments,Whether Provisions Of Corporate Social Responsibility Are Applicable On Company,0.5111,Medium Confidence (MHA),Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain53,0.4757,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain226,0.4667
Does the company have its products in compliance with BIS standards,Remarks For Assurance Of Whether CSRIs Applicable As Per Section135 Of Companies Act2013,0.5127,Medium Confidence (MHA),Whether CSRIs Applicable As Per Section135 Of Companies Act2013 Is Assured By Assurer,0.4957,Remarks For Assurance Of Compliance With Statutory Requirements Of Relevance To The Principles And Rectification Of Any Non Compliances,0.4945
Is the company adhering to Food Safety Standards and Processes,Remarks For Assurance Of Health And Safety Management System,0.5407,Medium Confidence (MHA),Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.5391,Whether An Occupational Health And Safety Management System Has Been Implemented By The Entity,0.5272
Description of actions and initiatives to promote access to healthcare products for priority diseases,Assurance Sub Type For Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.4618,Low Confidence (MHA),Description Of The Risk Or Concern - Product Or Service Domain9,0.4603,Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.4589
Does the company focus on providing healthcare facilities to vulnerable portions of the population,Description Of The Risk Or Concern - Product Or Service Domain10,0.4771,Low Confidence (MHA),Description Of The Risk Or Concern - Product Or Service Domain5,0.4704,Description Of The Risk Or Concern - Product Or Service Domain6,0.4691
N-CAP Rating of 4 or 5 star?,Number Of Shares Issued In Public Offering,0.3631,Low Confidence (MHA),Whether There Are Any Shareholders Holding More Than Five Per Cent Shares In Company,0.3367,Number Of Shares Proposed To Be Issued,0.3209
"Is the company sourcing raw materials from the certified sustainable sources (such as global GAP, RSPO, Rainforest, FSC)",Does The Entity Have Procedures In Place For Sustainable Sourcing,0.6768,Medium Confidence (MHA),Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.6576,Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer,0.6278
Do the farmers have access to PPE kits to prevent themselves from exposure to pesticides while handling wet green tobacco leaves which could lead to Green Tobacco Sickness,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,0.4788,Low Confidence (MHA),Remarks For Assurance Of Details Of Any Corrective Action Taken Or Underway To Address Safety Related Incidents Of Your Plants And Offices That Were Assessed,0.3921,Remarks For Assurance Of Assessments Of Your Plants And Offices That Were Assessed For The Year P5,0.3866
Does the company have any standards or programmes related to sustainable tobacco during their supply chain process,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5299,Medium Confidence (MHA),Whether Company Has Published Sustainability Report For The Financial Year,0.4829,Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.4738
Are there any technicians appointed during the supply chain process to detect or monitor the agriculture or crop management process,Assurance Sub Type For Details Of Any Corrective Action Taken Or Underway To Address Safety Related Incidents Of Your Plants And Offices That Were Assessed,0.4278,Low Confidence (MHA),Whether Company Has Associates Which Are Yet To Commence Operations,0.4215,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.4165
Existence of management process for ensuring quality and patient safety during clinical trials,Remarks For Assurance Of Health And Safety Management System,0.5224,Medium Confidence (MHA),Assurance Sub Type For Details Of Instances Of Product Recalls On Account Of Safety Issues,0.4148,Remarks For Assurance Of Details Of Instances Of Product Recalls On Account Of Safety Issues,0.4105
Provide information on project(s) for which ongoing Rehabilitation and Resettlements is being undertaken by the company,Remarks For Assurance Of Details Of Projects For Which Ongoing Rehabilitation And Resettlement Is Being Undertaken By Entity,0.8922,High Confidence (MHA),State Of Project - Projects For Rehabilitation And Resettlement35,0.883,State Of Project - Projects For Rehabilitation And Resettlement43,0.8825
How many patents were filed and granted during the current year,Basis Of Calculating Benefit Share - Intellectual Property17,0.4063,Low Confidence (MHA),Basis Of Calculating Benefit Share - Intellectual Property16,0.4059,Number Of Shares Proposed To Be Issued,0.4011
Does the company have due diligence process for sourcing minerals as raw materials,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5456,Medium Confidence (MHA),Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer,0.538,Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.5294
Has the entity performed audit by DoT and maintain compliance with EMF radiation levels set by local regulations and ICNIRP,Is The Entity Compliant With The Applicable Environmental Law,0.5591,Medium Confidence (MHA),Remarks For Assurance Of Whether The Entity Compliant With The Applicable Environmental Law,0.554,Assurance Sub Type For Whether The Entity Compliant With The Applicable Environmental Law,0.5219
Does the organisation have Board Diversity Policy,Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.5362,Medium Confidence (MHA),Number Of Female Board Of Directors,0.5093,Remarks For Assurance Of The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.5007
Presence of policy on appointment and reappointment of board of directors,Reappointment Of Independent Directors As Per Section 14910 Explanatory,0.6343,Medium Confidence (MHA),Disclosure Of Policy Formulated By Nomination And Remuneration Committee Relating To Remuneration For Directors Key Managerial Personnels And Other Employees Explanatory,0.5709,Disclosure Of Appointment And Remuneration Of Director Or Managerial Personnel If Any In The Financial Year Explanatory,0.5508
Is the chairperson of the board an independent director?,Total Number Of Board Of Directors,0.6749,Medium Confidence (MHA),Commission To Directors,0.6698,Reappointment Of Independent Directors As Per Section 14910 Explanatory,0.6611
Does the company have separate roles for Chairman and CEO,Name Of Directors And Key Managerial Personnel,0.6054,Medium Confidence (MHA),Other Commission Key Managerial Personnel Or Director,0.5503,Directors And Key Managerial Personnel Domain,0.5452
Does the company have lead independent director on the board,Advance Due By Firms Or Companies In Which Any Director Is Partner Or Director,0.6155,Medium Confidence (MHA),Advance Due By Private Companies In Which Any Director Is Director,0.6145,Commission To Directors,0.6074
Does the company ensure effectiveness of the board through internal or external evaluation or assessment,Details Of Statement Indicating Manner In Which Formal Annual Evaluation Made By Board Of Its Performance And Of Its Committees And Individual Directors Explanatory,0.6374,Medium Confidence (MHA),Remarks For Assurance Of Whether The Entity Has Carried Out Independent Assessment Evaluation Of The Working Of Its Policies By An External Agency,0.6246,Has The Entity Carried Out Independent Assessment Evaluation Of The Working Of Its Policies By An External Agency - Principle1 Member,0.6012
Does the company have processes in place to avoid/manage conflicts of interest involving members of the Board,Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.9008,High Confidence (MHA),Remarks For Assurance Of The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.8282,Whether The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board Is Assured By Assurer,0.7851
Does the company conduct training and awareness programmes on any of the NGBRC principles for BOD,Remarks For Assurance Of Whether Your Entitys Policy Or Policies Cover Each Principle And Its Core Elements Of The NGRBCs,0.5566,Medium Confidence (MHA),Assurance Sub Type For Whether Your Entitys Policy Or Policies Cover Each Principle And Its Core Elements Of The NGRBCs,0.5268,Topics Or Principles Covered Under The Training And Its Impact - Employees Other Than Bo DAnd KMPs Segment Member,0.5064
Independence of Chairperson of committee (risk management),Assurance Sub Type For Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.5037,Medium Confidence (MHA),Description Of Other Committee For Performance Against Above Policies And Follow Up Action - Principle1 Member,0.4996,Disclosure Of Policy Formulated By Nomination And Remuneration Committee Relating To Remuneration For Directors Key Managerial Personnels And Other Employees Explanatory,0.4969
Independence of Chairperson of committee (NRC),Disclosure Of Composition Of CSR Committee Explanatory,0.5147,Medium Confidence (MHA),Reappointment Of Independent Directors As Per Section 14910 Explanatory,0.5052,Disclosure Of Statement On Declaration Given By Independent Directors Under Sub Section 6 Of Section 149 Explanatory,0.487
Independence of Chairperson of committee (Audit),Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,0.6306,Medium Confidence (MHA),Directors Comment On Company Secretary Qualification Or Observation Or Other Remarks In Secretarial Audit Report,0.4803,Reappointment Of Independent Directors As Per Section 14910 Explanatory,0.4733
Is there a claw back mechanism/policy for senior management/KMP,Number Of KMPs Against Whom Disciplinary Action Was Taken - Previous Year,0.4872,Low Confidence (MHA),Number Of KMPs Against Whom Disciplinary Action Was Taken,0.4823,Remarks In Case Complaints Received In Relation To Issues Of Conflict Of Interest Of The Kmps - Previous Year,0.4353
Is the independent director paid commissions/incentives other than the board sitting fees,Directors Sitting Fees,0.7387,High Confidence (MHA),Commission To Directors,0.6907,Commission To Directors Other Than Whole Time Director Or Managing Director Or Manager,0.6534
Is the variable pay of executives linked to sustainability or ESG parameters,Key Managerial Personnel Or Director Remuneration,0.485,Low Confidence (MHA),Profits In Lieu Of Salary Key Managerial Personnel Or Director,0.4763,Other Compensation Key Managerial Personnel Or Director,0.4746
Does the company have a policy for appointment or reappointment o auditors,Address Of Auditors,0.6364,Medium Confidence (MHA),Firms Registration Number Of Audit Firm,0.6086,Whether Companies Auditors Report Order Is Applicable On Company,0.5989
Discontinuation of auditors before end of term,Payments To Auditor,0.5285,Medium Confidence (MHA),Category Of Auditor,0.5065,Name Of Audit Firm,0.5029
Does the entity have a whistleblower policy,Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.5511,Medium Confidence (MHA),Does The Entity Have ABusiness Continuity And Disaster Management Plan,0.5261,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,0.5081
Is the whistleblower policy applicable to value chain,Remarks For Assurance Of Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Value Chain Partner,0.5552,Medium Confidence (MHA),Grievance Redressal Mechanism In Place - Complaint Received From Value Chain Partners Member,0.5434,Disclosure Of Fair Value Measurement Of Liabilities Explanatory,0.5262
Does the entity have an anti corruption or anti bribery policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,High Confidence (MHA),Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block,0.8116,Remarks For Assurance Of Details And Weblink Of An Anti Corruption Or Anti Bribery Policy Is Place,0.7815
Does the company have code of conduct policy,Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines10,0.5437,Medium Confidence (MHA),Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines14,0.5413,Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines7,0.5408
Does the company have a policy on anti-money laundering and/or insider trading/dealing,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,0.5016,Medium Confidence (MHA),Cash Flows Used In Obtaining Control Of Subsidiaries Or Other Businesses Classified As Investing Activities,0.4696,Disclosure Of Significant Investments In Subsidiaries Explanatory,0.4625
"Does the company provide training on code of conduct, anti corruption, and anti bribery policies to the employee",Does The Entity Have An Anti Corruption Or Anti Bribery Policy,0.6494,Medium Confidence (MHA),Remarks For Assurance Of Details Of Training Given To Employees And Workers,0.6193,Remarks For Assurance Of Details And Weblink Of An Anti Corruption Or Anti Bribery Policy Is Place,0.603
How does the company ensure that the minority shareholders effectively protect their interest and rights within company,Proportion Of Ownership Interest In Subsidiary,0.5495,Medium Confidence (MHA),Shares In Company Held By Subsidiaries Of Its Holding Company,0.5377,Shareholders Name,0.5365
Has the company undergone any fines/penalties/punishments/award/compunding fees/settlement amount paid in proceedings with regulators/law enforcement agencies/judicial institution during the financial year,Payment For Company Law Matters,0.5836,Medium Confidence (MHA),Remarks For Assurance Of Details Of Fines Or Penalties Or Punishment Or Award Or Compounding Fees Or Settlement,0.5604,Whether Details Of Fines Or Penalties Or Punishment Or Award Or Compounding Fees Or Settlement Is Assured By Assurer,0.5588
Does the company implement a comprehensive framework or Enterprise Risk Management framework,Description Of Objectives Policies And Processes For Managing Risk,0.5544,Medium Confidence (MHA),Changes In Objectives Policies And Processes For Managing Risk,0.5339,Disclosure Of Statement On Development And Implementation Of Risk Management Policy Explanatory,0.5271
"Has the company taken any corrective action or underway on any issues related to anti competitive model, based on adverse orders from regulatory authorities? If yes, provide details",Remarks For Assurance Of Details Of Corrective Action Taken Or Underway On Any Issues Related To Anti Competitive Conduct By The Entity Based On Adverse Orders From Regulatory Authorities,0.7701,High Confidence (MHA),Whether Details Of Corrective Action Taken Or Underway On Any Issues Related To Anti Competitive Conduct By The Entity Based On Adverse Orders From Regulatory Authorities Is Assured By Assurer,0.7219,Corrective Action Taken For Any Issues Related To Anti Competitive Conduct By The Entity - Issues Related To Anti Competitive2,0.6502
Does the entity have a business continuity and disaster management plan,Does The Entity Have ABusiness Continuity And Disaster Management Plan,0.8995,High Confidence (MHA),Remarks For Assurance Of Whether The Entity Have ABusiness Continuity And Disaster Management Plan,0.8112,Disclosure Web Link Of Entity At Which Business Continuity And Disaster Management Plan Is Placed,0.7408
Does the company have ESG or Sustainability or BRSR policy,Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore,0.6439,Medium Confidence (MHA),Whether The Company Has Undertaken Reasonable Assurance Of The BRSRCore,0.5997,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5429
Does the company perform materiality assessment and identify material ESG issues,Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore,0.506,Medium Confidence (MHA),Material Issue Identified - Entitys Material Responsible Business Conduct Issues Domain37,0.5025,Material Issue Identified - Entitys Material Responsible Business Conduct Issues Domain20,0.4979
Does the company conduct assurance for its ESG or sustainability data through a third party or external agency,Name Of The External Agency If Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Air Emissions Other Than GHGEmissions Explanatory Text Block,0.6355,Medium Confidence (MHA),Assurance Sub Type For Whether The Entity Has Carried Out Independent Assessment Evaluation Of The Working Of Its Policies By An External Agency,0.6199,Whether Conducted By Independent External Agency - The Entity Conducted Life Cycle Perspective Or Assessments Domain3,0.6088
Does the company conduct assurance for its suppliers’ ESG or sustainability data through a third party or external agency,Name Of The External Agency If Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Air Emissions Other Than GHGEmissions Explanatory Text Block,0.6222,Medium Confidence (MHA),Indicate If Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Air Emissions Other Than GHGEmissions,0.5985,Assurance Sub Type For Whether The Entity Has Carried Out Independent Assessment Evaluation Of The Working Of Its Policies By An External Agency,0.5977
Does the company have a highest authority responsible for implementation and oversight of the Business Responsibility(ies) and ESG policy,Remarks For Assurance Of Details Of The Highest Authority Responsible For Implementation And Oversight Of The Business Responsibility Policy,0.7325,High Confidence (MHA),Whether Details Of The Highest Authority Responsible For Implementation And Oversight Of The Business Responsibility Policy Is Assured By Assurer,0.7029,Details Of The Highest Authority Responsible For Implementation And Oversight Of The Business Responsibility Policy Explanatory Text Block,0.6763
Does the company have a specified committee of the board/director responsible for decision making on sustainability related issues (Y/N),Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.8944,High Confidence (MHA),Remarks For Assurance Of Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.8531,Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block,0.7892
Were there any promotor sponsored resolutoins that were defeated during the current FY,Whether There Are Any Service Concession Arrangments,0.3005,Low Confidence (MHA),Name Of Authority - Issues Related To Anti Competitive1,0.29,Name Of Authority - Issues Related To Anti Competitive2,0.2843
Does the company follow GRI standards,Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore,0.4473,Low Confidence (MHA),Whether The Company Has Undertaken Reasonable Assurance Of The BRSRCore,0.4445,Whether Complaints Or Grievances On Any Of The Principles Under The National Guidelines On Responsible Business Conduct Is Assured By Assurer,0.4347
Is the company aligned with SDGs? Does the company set targets according  to SDGs,Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain210,0.4822,Low Confidence (MHA),Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain220,0.4799,Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain160,0.479
Is your company a signatory/participant of the United Nations Global Compact,Whether There Are Unconsolidated Subsidiaries,0.4513,Low Confidence (MHA),Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain177,0.4397,Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain297,0.4395
Does the company have affiliatoins with trade and indsutry chambers/associations,Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations7 Member,0.6086,Medium Confidence (MHA),Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations10 Member,0.6035,Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations8 Member,0.6025
"Has the company advocated any public policy positions? If yes, provide details",Remarks For Assurance Of Details Of Public Policy Positions Advocated By The Entity,0.7303,High Confidence (MHA),Web Link Public Policy Position Advocated - Public Policy29,0.6827,Web Link Public Policy Position Advocated - Public Policy34,0.6789
Does the company disclose ESG engagement with investee company,Whether Company Has Invested In Joint Ventures,0.5247,Medium Confidence (MHA),Details Of Other Frequency Of Engagement - Stake Holder Groups Domain18,0.5136,Details Of Other Frequency Of Engagement - Stake Holder Groups Domain36,0.5135
Does the entity have stewardship code,Is The Entity Compliant With The Applicable Environmental Law,0.4914,Low Confidence (MHA),Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services,0.4843,Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services,0.4788
Is there a policy on related party transactions,Description Of Nature Of Transactions With Related Party,0.7648,High Confidence (MHA),Description Of Accounting Policy For Transactions With Related Parties Explanatory,0.7307,Other Related Party Transactions Expense,0.71
Disclosure of transactions with related parties during the year which are more than 10% of the revenue,Disclosure Of Transactions Between Related Parties Explanatory,0.7639,High Confidence (MHA),Disclosure In Auditors Report Relating To Transactions With Related Parties,0.7462,Disclosure Of Revenue Explanatory,0.7268
